boro,ad,candidate,votes
New York,AD 70,Raymond J. McGuire,1384
New York,AD 70,Scott M. Stringer,1730
New York,AD 70,Shaun Donovan,752
New York,AD 70,WRITE-IN,38
New York,AD 71,Aaron S. Foldenauer,442
New York,AD 71,Andrew Yang,2104
New York,AD 71,Art Chang,304
New York,AD 71,Dianne Morales,1492
New York,AD 71,Eric L. Adams,11386
New York,AD 71,Isaac Wright Jr.,150
New York,AD 71,Joycelyn Taylor,136
New York,AD 71,Kathryn A. Garcia,6590
New York,AD 71,Maya D. Wiley,11006
New York,AD 71,Paperboy Love Prince,146
New York,AD 71,Raymond J. McGuire,806
New York,AD 71,Scott M. Stringer,2124
New York,AD 71,Shaun Donovan,734
New York,AD 71,WRITE-IN,22
New York,AD 72,Aaron S. Foldenauer,564
New York,AD 72,Andrew Yang,1900
New York,AD 72,Art Chang,242
New York,AD 72,Dianne Morales,1488
New York,AD 72,Eric L. Adams,8032
New York,AD 72,Isaac Wright Jr.,80
New York,AD 72,Joycelyn Taylor,106
New York,AD 72,Kathryn A. Garcia,4094
New York,AD 72,Maya D. Wiley,6392
New York,AD 72,Paperboy Love Prince,124
New York,AD 72,Raymond J. McGuire,312
New York,AD 72,Scott M. Stringer,1676
New York,AD 72,Shaun Donovan,398
New York,AD 72,WRITE-IN,48
New York,AD 73,Aaron S. Foldenauer,36
New York,AD 73,Andrew Yang,3814
New York,AD 73,Art Chang,120
New York,AD 73,Dianne Morales,292
New York,AD 73,Eric L. Adams,5540
New York,AD 73,Isaac Wright Jr.,12
New York,AD 73,Joycelyn Taylor,26
New York,AD 73,Kathryn A. Garcia,14564
New York,AD 73,Maya D. Wiley,4404
New York,AD 73,Paperboy Love Prince,38
New York,AD 73,Raymond J. McGuire,2870
New York,AD 73,Scott M. Stringer,1796
New York,AD 73,Shaun Donovan,1044
New York,AD 73,WRITE-IN,30
New York,AD 74,Aaron S. Foldenauer,130
New York,AD 74,Andrew Yang,4090
New York,AD 74,Art Chang,190
New York,AD 74,Dianne Morales,930
New York,AD 74,Eric L. Adams,5142
New York,AD 74,Isaac Wright Jr.,36
New York,AD 74,Joycelyn Taylor,64
New York,AD 74,Kathryn A. Garcia,12156
New York,AD 74,Maya D. Wiley,8530
New York,AD 74,Paperboy Love Prince,126
New York,AD 74,Raymond J. McGuire,870
New York,AD 74,Scott M. Stringer,2466
New York,AD 74,Shaun Donovan,922
New York,AD 74,WRITE-IN,54
New York,AD 75,Aaron S. Foldenauer,78
New York,AD 75,Andrew Yang,4470
New York,AD 75,Art Chang,226
New York,AD 75,Dianne Morales,614
New York,AD 75,Eric L. Adams,5052
New York,AD 75,Isaac Wright Jr.,28
New York,AD 75,Joycelyn Taylor,40
New York,AD 75,Kathryn A. Garcia,14888
New York,AD 75,Maya D. Wiley,8606
New York,AD 75,Paperboy Love Prince,108
New York,AD 75,Raymond J. McGuire,1348
New York,AD 75,Scott M. Stringer,2930
New York,AD 75,Shaun Donovan,1094
New York,AD 75,WRITE-IN,68
New York,AD 76,Aaron S. Foldenauer,84
New York,AD 76,Andrew Yang,3982
New York,AD 76,Art Chang,150
New York,AD 76,Dianne Morales,460
New York,AD 76,Eric L. Adams,5260
New York,AD 76,Isaac Wright Jr.,22
New York,AD 76,Joycelyn Taylor,52
New York,AD 76,Kathryn A. Garcia,15116
New York,AD 76,Maya D. Wiley,6704
New York,AD 76,Paperboy Love Prince,122
New York,AD 76,Raymond J. McGuire,1740
New York,AD 76,Scott M. Stringer,2200
New York,AD 76,Shaun Donovan,1074
New York,AD 76,WRITE-IN,44
Queens,AD 23,Aaron S. Foldenauer,160
Queens,AD 23,Andrew Yang,2580
Queens,AD 23,Art Chang,122
Queens,AD 23,Dianne Morales,458
Queens,AD 23,Eric L. Adams,7896
Queens,AD 23,Isaac Wright Jr.,46
Queens,AD 23,Joycelyn Taylor,56
Queens,AD 23,Kathryn A. Garcia,3364
Queens,AD 23,Maya D. Wiley,2048
Queens,AD 23,Paperboy Love Prince,74
Queens,AD 23,Raymond J. McGuire,528
Queens,AD 23,Scott M. Stringer,1076
Queens,AD 23,Shaun Donovan,544
Queens,AD 23,WRITE-IN,84
Queens,AD 24,Aaron S. Foldenauer,378
Queens,AD 24,Andrew Yang,3394
Queens,AD 24,Art Chang,218
Queens,AD 24,Dianne Morales,628
Queens,AD 24,Eric L. Adams,5626
Queens,AD 24,Isaac Wright Jr.,54
Queens,AD 24,Joycelyn Taylor,82
Queens,AD 24,Kathryn A. Garcia,2912
Queens,AD 24,Maya D. Wiley,2786
Queens,AD 24,Paperboy Love Prince,50
Queens,AD 24,Raymond J. McGuire,420
Queens,AD 24,Scott M. Stringer,1396
Queens,AD 24,Shaun Donovan,674
Queens,AD 24,WRITE-IN,32
Queens,AD 25,Aaron S. Foldenauer,116
Queens,AD 25,Andrew Yang,6326
Queens,AD 25,Art Chang,306
Queens,AD 25,Dianne Morales,326
